organism	chromosome	accession	gene_name	strand	gstart	gend
Homo sapiens	X	NT_011757	UBE2E4P	+	12044070	12045228
Homo sapiens	X	NT_011757	GLRA2	+	12329333	12531617
Homo sapiens	X	NT_011757	NPM1P9	+	12633949	12635231
Homo sapiens	X	NT_011757	FANCB	-	12672867	12643212
Homo sapiens	X	NT_011757	MOSPD2	+	12673246	12721140
Homo sapiens	X	NT_011757	ASB9	-	13075416	13043792
Homo sapiens	X	NT_011757	ASB11	-	13115410	13083310
Homo sapiens	X	NT_011757	PIGA	-	13135328	13119263
Homo sapiens	X	NT_011757	FIGF	-	13184260	13145401
Homo sapiens	X	NT_011757	PIR	-	13293147	13184604
Homo sapiens	X	NT_011757	BMX	+	13300635	13356335
Homo sapiens	X	NT_011757	ACE2	-	13400820	13360839
Homo sapiens	X	NT_011757	TMEM27	-	13464837	13427134
Homo sapiens	X	NT_011757	LOC728999	-	13503528	13498814
Homo sapiens	X	NT_011757	CA5B	+	13538108	13584341
Homo sapiens	X	NT_011757	INE2	-	13587395	13585522
Homo sapiens	X	NT_011757	U2AF1L2	+	13590278	13623066
Homo sapiens	X	NT_011757	AP1S2	-	13654783	13625612
Homo sapiens	X	NT_011757	GRPR	+	13923107	13953324
Homo sapiens	X	NT_011757	LOC645864	+	13970189	13971199
Homo sapiens	X	NT_011757	LOC139452	-	13999097	13998234
Homo sapiens	X	NT_011757	CTPS2	-	14512742	14387805
Homo sapiens	X	NT_011757	S100G	+	14449964	14454474
Homo sapiens	X	NT_011757	SYAP1	+	14519438	14561036
Homo sapiens	X	NT_011757	CXorf15	+	14586243	14641979
Homo sapiens	X	NT_011757	RBBP7	-	14670148	14644460
Homo sapiens	X	NT_011757	RNU4P6	-	14675073	14675006
Homo sapiens	X	NT_011757	REPS2	+	14746497	14947418
Homo sapiens	X	NT_011757	NHS	+	15175226	15535797
Homo sapiens	X	NT_011757	SCML1	+	15537275	15554788
Homo sapiens	X	NT_011757	RAI2	-	15602190	15599854
Homo sapiens	X	NT_011757	CXorf20	-	16020686	15962734
Homo sapiens	X	NT_011757	SCML2	-	16154461	16039117
Homo sapiens	X	NT_011757	CDKL5	+	16225408	16453432
Homo sapiens	X	NT_011757	RS1	-	16471912	16439491
Homo sapiens	X	NT_011757	PPEF1	+	16490728	16627718
Homo sapiens	X	NT_011757	LOC441484	+	16665200	16666359
Homo sapiens	X	NT_011757	PHKA2	-	16783859	16692555
Homo sapiens	X	NT_011757	GPR64	-	16882547	16789115
Homo sapiens	X	NT_011757	PDHA1	+	17143734	17159648
Homo sapiens	X	NT_011757	MAP3K15	-	17282077	17159857
Homo sapiens	X	NT_011757	SH3KBP1	-	17687402	17335203
Homo sapiens	X	NT_011757	CXorf23	-	17766107	17716059
Homo sapiens	X	NT_011757	LOC729609	-	17801541	17790705
Homo sapiens	X	NT_011757	FLJ14503	-	17916699	17806912
Homo sapiens	X	NT_011757	EIF1AX	-	17941649	17924319
Homo sapiens	X	NT_011757	RPS6KA3	-	18066433	17949712
Homo sapiens	X	NT_011757	CNKSR2	+	19174663	19452462
Homo sapiens	X	NT_011757	RP11-450P7.3	-	19458131	19455292
Homo sapiens	X	NT_011757	SMPX	-	19557913	19505774
Homo sapiens	X	NT_011757	MBTPS2	+	19639437	19682556
Homo sapiens	X	NT_011757	YY2	+	19656286	19657404
Homo sapiens	X	NT_011757	SMS	+	19740525	19794638
Homo sapiens	X	NT_011757	PHEX	+	19832604	20048161
Homo sapiens	X	NT_011757	ZNF645	+	20072743	20074257
Homo sapiens	X	NT_011757	LOC729650	+	20235857	20236222
Homo sapiens	X	NT_011757	DDX53	+	20799770	20801889
Homo sapiens	X	NT_011757	MGC45134	+	20875386	20877012
Homo sapiens	X	NT_011757	LOC653707	+	20998139	21093327
Homo sapiens	X	NT_011757	PTCHD1	+	21134778	21194102
Homo sapiens	X	NT_011757	PRDX4	+	21467328	21486197
Homo sapiens	X	NT_011757	ACOT9	-	21543090	21503460
Homo sapiens	X	NT_011757	SAT	+	21582987	21586010
Homo sapiens	X	NT_011757	FAM121B	-	21707720	21633153
Homo sapiens	X	NT_011757	RPL9P7	-	21637146	21636444
Homo sapiens	X	NT_011757	CXorf58	+	21707806	21739307
Homo sapiens	X	NT_011757	KLHL15	-	21826986	21787646
Homo sapiens	X	NT_011757	LOC729685	+	21823902	21825793
Homo sapiens	X	NT_011757	EIF2S3	+	21854748	21878610
Homo sapiens	X	NT_011757	ZFX	+	21949586	22014311
Homo sapiens	X	NT_011757	FAM48B1	-	22114042	22110662
Homo sapiens	X	NT_011757	LOC729188	-	22229746	22229290
Homo sapiens	X	NT_011757	PDK3	+	22265237	22334225
Homo sapiens	X	NT_011757	PCYT1B	-	22447036	22357887
Homo sapiens	X	NT_011757	POLA	+	22493747	22796783
Homo sapiens	X	NT_011757	SCARNA23	+	22544241	22544370
Homo sapiens	X	NT_011757	LOC644820	-	22588910	22588132
Homo sapiens	X	NT_011757	ARX	-	22815537	22803975
Homo sapiens	X	NT_011757	LOC139957	+	22829345	22830035
Homo sapiens	X	NT_011757	LOC441487	-	22997803	22994181
Homo sapiens	X	NT_011757	LOC389842	-	23477340	23445392
Homo sapiens	X	NT_011757	MAGEB18	+	23938143	23940535
Homo sapiens	X	NT_011757	MAGEB6B	+	23960401	23961624
Homo sapiens	X	NT_011757	MAGEB6	+	23992240	23995446
Homo sapiens	X	NT_011757	MAGEB5	+	24015940	24017936
Homo sapiens	X	NT_011757	VENTXP1	+	24358137	24360852
Homo sapiens	X	NT_011757	LOC646346	+	24482367	24487755
Homo sapiens	X	NT_011757	HMGA1L1	+	24547678	24549759
Homo sapiens	X	NT_011757	FLJ32867	-	25263141	25260009
Homo sapiens	X	NT_011757	RDXP2	-	25317683	25314965
Homo sapiens	X	NT_011757	WDR42C	+	25546696	25548591
Homo sapiens	X	NT_011757	MAGEB10	+	25607808	25622446
Homo sapiens	X	NT_011757	LOC392435	+	25629693	25633016
Homo sapiens	X	NT_011757	LOC392436	+	25654634	25655072
Homo sapiens	X	NT_011757	LOC414355	+	25663694	25664486
